,gender,past_3yrs_pur,wealth_segment,deceased_indicator,owns_car,tenure,state,property_valuation,product_class,list_price,age,Cluster_lbl
130,Male,37,Mass Customer,N,Yes,12.0,VIC,7,medium,441.49,42.0,1
131,Male,37,Mass Customer,N,Yes,12.0,VIC,7,medium,1415.01,42.0,1
132,Male,37,Mass Customer,N,Yes,12.0,VIC,7,low,958.74,42.0,0
133,Male,37,Mass Customer,N,Yes,12.0,VIC,7,medium,1216.14,42.0,1
134,Male,37,Mass Customer,N,Yes,12.0,VIC,7,medium,1555.58,42.0,1
135,Male,5,Affluent Customer,N,Yes,21.0,QLD,4,medium,1483.2,47.0,1
136,Male,5,Affluent Customer,N,Yes,21.0,QLD,4,medium,360.4,47.0,1
137,Male,5,Affluent Customer,N,Yes,21.0,QLD,4,high,495.72,47.0,0
138,Male,5,Affluent Customer,N,Yes,21.0,QLD,4,high,12.01,47.0,0
139,Male,5,Affluent Customer,N,Yes,21.0,QLD,4,medium,1992.93,47.0,1
140,Male,5,Affluent Customer,N,Yes,21.0,QLD,4,high,1148.64,47.0,0
141,Female,62,Mass Customer,N,No,19.0,QLD,7,high,1179.0,52.0,0
142,Female,62,Mass Customer,N,No,19.0,QLD,7,low,1073.07,52.0,0
143,Female,62,Mass Customer,N,No,19.0,QLD,7,medium,290.62,52.0,0
144,Female,62,Mass Customer,N,No,19.0,QLD,7,medium,1807.45,52.0,0
145,Female,62,Mass Customer,N,No,19.0,QLD,7,medium,795.34,52.0,0
146,Female,62,Mass Customer,N,No,19.0,QLD,7,medium,1577.53,52.0,0
147,Female,62,Mass Customer,N,No,19.0,QLD,7,medium,1769.64,52.0,0
148,Female,62,Mass Customer,N,No,19.0,QLD,7,low,1073.07,52.0,0
149,Female,62,Mass Customer,N,No,19.0,QLD,7,low,1289.85,52.0,0
153,Female,3,High Net Worth,N,Yes,14.0,NSW,12,medium,742.54,58.0,1
154,Female,3,High Net Worth,N,Yes,14.0,NSW,12,low,1720.7,58.0,1
155,Female,3,High Net Worth,N,Yes,14.0,NSW,12,medium,575.27,58.0,1
156,Female,3,High Net Worth,N,Yes,14.0,NSW,12,medium,71.49,58.0,1
157,Female,17,Affluent Customer,N,No,4.0,NSW,9,medium,569.56,25.0,1
158,Female,17,Affluent Customer,N,No,4.0,NSW,9,medium,1071.23,25.0,1
159,Female,17,Affluent Customer,N,No,4.0,NSW,9,medium,1538.99,25.0,1
160,Female,17,Affluent Customer,N,No,4.0,NSW,9,medium,202.62,25.0,1
161,Female,17,Affluent Customer,N,No,4.0,NSW,9,medium,1151.96,25.0,1
162,Female,17,Affluent Customer,N,No,4.0,NSW,9,medium,1635.3,25.0,1
163,Female,17,Affluent Customer,N,No,4.0,NSW,9,medium,1703.52,25.0,1
180,Female,40,High Net Worth,N,Yes,16.0,QLD,6,medium,1036.59,57.0,1
181,Female,40,High Net Worth,N,Yes,16.0,QLD,6,medium,795.34,57.0,1
182,Female,40,High Net Worth,N,Yes,16.0,QLD,6,medium,1292.84,57.0,1
183,Female,40,High Net Worth,N,Yes,16.0,QLD,6,low,1057.51,57.0,0
186,Female,46,High Net Worth,N,No,16.0,QLD,1,low,1793.43,35.0,0
187,Female,46,High Net Worth,N,No,16.0,QLD,1,high,1842.92,35.0,0
188,Female,46,High Net Worth,N,No,16.0,QLD,1,medium,478.16,35.0,0
189,Female,46,High Net Worth,N,No,16.0,QLD,1,high,774.53,35.0,0
190,Female,46,High Net Worth,N,No,16.0,QLD,1,low,1720.7,35.0,0
191,Female,46,High Net Worth,N,No,16.0,QLD,1,medium,60.34,35.0,0
192,Female,46,High Net Worth,N,No,16.0,QLD,1,low,1289.85,35.0,0
193,Female,46,High Net Worth,N,No,16.0,QLD,1,medium,2091.47,35.0,0
194,Female,46,High Net Worth,N,No,16.0,QLD,1,medium,1240.31,35.0,0
195,Female,37,Affluent Customer,N,No,20.0,QLD,4,low,1289.85,65.0,0
196,Female,37,Affluent Customer,N,No,20.0,QLD,4,high,1977.36,65.0,0
197,Female,37,Affluent Customer,N,No,20.0,QLD,4,medium,1163.89,65.0,0
198,Female,37,Affluent Customer,N,No,20.0,QLD,4,medium,71.49,65.0,0
199,Male,5,Mass Customer,N,No,22.0,NSW,10,medium,792.9,41.0,1
200,Male,5,Mass Customer,N,No,22.0,NSW,10,low,1793.43,41.0,0
201,Male,5,Mass Customer,N,No,22.0,NSW,10,high,748.17,41.0,0
202,Male,5,Mass Customer,N,No,22.0,NSW,10,medium,202.62,41.0,1
203,Male,5,Mass Customer,N,No,22.0,NSW,10,high,1458.17,41.0,0
204,Male,5,Mass Customer,N,No,22.0,NSW,10,medium,499.53,41.0,1
205,Male,5,Mass Customer,N,No,22.0,NSW,10,low,1289.85,41.0,0
206,Male,5,Mass Customer,N,No,22.0,NSW,10,medium,533.51,41.0,1
207,Male,5,Mass Customer,N,No,22.0,NSW,10,high,774.53,41.0,0
208,Male,5,Mass Customer,N,No,22.0,NSW,10,high,495.72,41.0,0
209,Male,5,Mass Customer,N,No,22.0,NSW,10,medium,1071.23,41.0,1
210,Male,5,Mass Customer,N,No,22.0,NSW,10,medium,1577.53,41.0,1
211,Female,91,Affluent Customer,N,No,14.0,NSW,8,medium,1403.5,39.0,1
212,Female,91,Affluent Customer,N,No,14.0,NSW,8,low,1289.85,39.0,0
213,Female,91,Affluent Customer,N,No,14.0,NSW,8,medium,1071.23,39.0,1
214,Female,91,Affluent Customer,N,No,14.0,NSW,8,low,1057.51,39.0,0
215,Female,91,Affluent Customer,N,No,14.0,NSW,8,medium,60.34,39.0,1
217,Male,64,Mass Customer,N,No,16.0,VIC,9,high,1148.64,44.0,0
218,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,544.05,44.0,0
219,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,1538.99,44.0,0
220,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,478.16,44.0,0
221,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,1890.39,44.0,0
222,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,1403.5,44.0,0
223,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,1807.45,44.0,0
224,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,202.62,44.0,0
225,Male,64,Mass Customer,N,No,16.0,VIC,9,medium,100.35,44.0,0
226,Female,24,Mass Customer,N,No,18.0,VIC,10,medium,586.45,43.0,0
227,Female,24,Mass Customer,N,No,18.0,VIC,10,high,358.39,43.0,0
228,Female,24,Mass Customer,N,No,18.0,VIC,10,medium,416.98,43.0,0
229,Female,24,Mass Customer,N,No,18.0,VIC,10,low,574.64,43.0,0
230,Female,38,Mass Customer,N,No,5.0,QLD,8,medium,795.34,37.0,0
231,Female,38,Mass Customer,N,No,5.0,QLD,8,medium,1280.28,37.0,0
232,Female,38,Mass Customer,N,No,5.0,QLD,8,medium,360.4,37.0,0
233,Female,38,Mass Customer,N,No,5.0,QLD,8,high,1274.93,37.0,0
234,Female,38,Mass Customer,N,No,5.0,QLD,8,medium,416.98,37.0,0
235,Female,38,Mass Customer,N,No,5.0,QLD,8,medium,1890.39,37.0,0
236,Female,38,Mass Customer,N,No,5.0,QLD,8,high,12.01,37.0,0
237,Female,38,Mass Customer,N,No,5.0,QLD,8,medium,183.86,37.0,0
238,Female,38,Mass Customer,N,No,5.0,QLD,8,medium,360.4,37.0,0
239,Male,63,Affluent Customer,N,Yes,17.0,QLD,2,high,358.39,39.0,0
240,Male,63,Affluent Customer,N,Yes,17.0,QLD,2,low,945.04,39.0,0
241,Male,63,Affluent Customer,N,Yes,17.0,QLD,2,medium,1945.43,39.0,1
242,Male,63,Affluent Customer,N,Yes,17.0,QLD,2,medium,441.49,39.0,1
243,Male,63,Affluent Customer,N,Yes,17.0,QLD,2,high,1129.13,39.0,0
244,Male,63,Affluent Customer,N,Yes,17.0,QLD,2,medium,2091.47,39.0,1
245,Male,63,Affluent Customer,N,Yes,17.0,QLD,2,medium,586.45,39.0,1
246,Male,64,Mass Customer,N,No,8.0,NSW,3,medium,1775.81,45.0,1
247,Male,64,Mass Customer,N,No,8.0,NSW,3,medium,71.49,45.0,1
248,Male,64,Mass Customer,N,No,8.0,NSW,3,medium,1065.03,45.0,1
254,Male,51,Affluent Customer,N,No,2.0,NSW,4,medium,1403.5,28.0,1
255,Male,51,Affluent Customer,N,No,2.0,NSW,4,medium,1466.68,28.0,1
256,Male,51,Affluent Customer,N,No,2.0,NSW,4,medium,1151.96,28.0,1
257,Male,51,Affluent Customer,N,No,2.0,NSW,4,medium,1894.19,28.0,1
258,Male,51,Affluent Customer,N,No,2.0,NSW,4,medium,499.53,28.0,1
259,Male,51,Affluent Customer,N,No,2.0,NSW,4,medium,1036.59,28.0,1
260,Male,51,Affluent Customer,N,No,2.0,NSW,4,medium,569.56,28.0,1
274,Male,38,Mass Customer,N,Yes,16.0,NSW,10,medium,1538.99,40.0,1
275,Male,38,Mass Customer,N,Yes,16.0,NSW,10,medium,1636.9,40.0,1
276,Male,38,Mass Customer,N,Yes,16.0,NSW,10,medium,543.39,40.0,1
277,Male,38,Mass Customer,N,Yes,16.0,NSW,10,low,590.26,40.0,1
278,Male,38,Mass Customer,N,Yes,16.0,NSW,10,medium,792.9,40.0,1
279,Male,38,Mass Customer,N,Yes,16.0,NSW,10,medium,2083.94,40.0,1
280,Male,38,Mass Customer,N,Yes,16.0,NSW,10,medium,175.89,40.0,1
282,Male,68,Mass Customer,N,No,18.0,QLD,5,medium,1240.31,61.0,0
283,Male,68,Mass Customer,N,No,18.0,QLD,5,medium,1231.15,61.0,0
284,Male,68,Mass Customer,N,No,18.0,QLD,5,medium,1163.89,61.0,0
285,Male,68,Mass Customer,N,No,18.0,QLD,5,medium,1873.97,61.0,0
286,Male,68,Mass Customer,N,No,18.0,QLD,5,medium,543.39,61.0,0
287,Male,68,Mass Customer,N,No,18.0,QLD,5,medium,642.7,61.0,0
288,Male,68,Mass Customer,N,No,18.0,QLD,5,high,1842.92,61.0,0
289,Male,68,Mass Customer,N,No,18.0,QLD,5,high,1129.13,61.0,0
297,Female,22,Mass Customer,N,No,16.0,QLD,3,medium,360.4,66.0,0
298,Female,22,Mass Customer,N,No,16.0,QLD,3,medium,1065.03,66.0,0
299,Female,22,Mass Customer,N,No,16.0,QLD,3,medium,912.52,66.0,0
300,Female,22,Mass Customer,N,No,16.0,QLD,3,high,2005.66,66.0,0
301,Female,22,Mass Customer,N,No,16.0,QLD,3,high,1129.13,66.0,0
302,Female,2,Mass Customer,N,Yes,18.0,NSW,8,medium,1945.43,54.0,1
303,Female,2,Mass Customer,N,Yes,18.0,NSW,8,medium,1636.9,54.0,1
304,Female,2,Mass Customer,N,Yes,18.0,NSW,8,high,358.39,54.0,1
305,Female,2,Mass Customer,N,Yes,18.0,NSW,8,low,1720.7,54.0,1
306,Female,2,Mass Customer,N,Yes,18.0,NSW,8,low,958.74,54.0,1
307,Female,2,Mass Customer,N,Yes,18.0,NSW,8,medium,1216.14,54.0,1
308,Female,2,Mass Customer,N,Yes,18.0,NSW,8,high,1977.36,54.0,1
309,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,medium,1065.03,64.0,1
310,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,low,1057.51,64.0,1
311,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,medium,499.53,64.0,1
312,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,medium,175.89,64.0,1
313,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,high,1842.92,64.0,1
314,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,medium,1311.44,64.0,1
315,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,medium,360.4,64.0,1
316,Male,48,Affluent Customer,N,Yes,7.0,NSW,10,medium,441.49,64.0,1
317,Male,44,Mass Customer,N,Yes,4.0,NSW,10,high,2005.66,24.0,1
318,Male,44,Mass Customer,N,Yes,4.0,NSW,10,low,1073.07,24.0,1
319,Male,44,Mass Customer,N,Yes,4.0,NSW,10,low,590.26,24.0,1
320,Male,44,Mass Customer,N,Yes,4.0,NSW,10,medium,235.63,24.0,1
321,Male,44,Mass Customer,N,Yes,4.0,NSW,10,high,12.01,24.0,1
322,Male,44,Mass Customer,N,Yes,4.0,NSW,10,low,71.16,24.0,1
323,Male,44,Mass Customer,N,Yes,4.0,NSW,10,low,1073.07,24.0,1
330,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,high,227.88,53.0,1
331,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,medium,533.51,53.0,1
332,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,high,748.17,53.0,1
333,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,medium,1065.03,53.0,1
334,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,low,363.01,53.0,1
335,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,high,2005.66,53.0,1
336,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,medium,792.9,53.0,1
337,Female,26,Affluent Customer,N,Yes,17.0,NSW,9,medium,1231.15,53.0,1
343,Female,47,High Net Worth,N,No,13.0,NSW,7,medium,1466.68,61.0,1
344,Female,47,High Net Worth,N,No,13.0,NSW,7,medium,1890.39,61.0,1
345,Female,47,High Net Worth,N,No,13.0,NSW,7,medium,1415.01,61.0,1
346,Female,47,High Net Worth,N,No,13.0,NSW,7,high,1458.17,61.0,0
347,Female,47,High Net Worth,N,No,13.0,NSW,7,high,227.88,61.0,0
348,Female,47,High Net Worth,N,No,13.0,NSW,7,medium,1071.23,61.0,1
356,Female,58,Mass Customer,N,Yes,16.0,NSW,9,medium,1362.99,55.0,1
357,Female,58,Mass Customer,N,Yes,16.0,NSW,9,medium,1577.53,55.0,1
358,Female,58,Mass Customer,N,Yes,16.0,NSW,9,medium,1216.14,55.0,1
359,Male,73,High Net Worth,N,No,4.0,VIC,8,high,227.88,42.0,0
360,Male,73,High Net Worth,N,No,4.0,VIC,8,low,590.26,42.0,0
361,Male,73,High Net Worth,N,No,4.0,VIC,8,medium,1386.84,42.0,0
362,Male,73,High Net Worth,N,No,4.0,VIC,8,medium,1703.52,42.0,0
363,Male,73,High Net Worth,N,No,4.0,VIC,8,medium,202.62,42.0,0
364,Male,21,Affluent Customer,N,Yes,15.0,NSW,10,medium,1577.53,44.0,1
365,Male,21,Affluent Customer,N,Yes,15.0,NSW,10,medium,2091.47,44.0,1
366,Male,21,Affluent Customer,N,Yes,15.0,NSW,10,high,1129.13,44.0,1
368,Male,21,Affluent Customer,N,Yes,15.0,NSW,10,medium,586.45,44.0,1
369,Male,21,Affluent Customer,N,Yes,15.0,NSW,10,medium,1036.59,44.0,1
370,Male,46,High Net Worth,N,No,1.0,NSW,10,low,1057.51,18.0,0
371,Male,46,High Net Worth,N,No,1.0,NSW,10,low,945.04,18.0,0
372,Male,46,High Net Worth,N,No,1.0,NSW,10,low,1793.43,18.0,0
373,Male,46,High Net Worth,N,No,1.0,NSW,10,low,1289.85,18.0,0
374,Male,46,High Net Worth,N,No,1.0,NSW,10,medium,1403.5,18.0,1
389,Male,78,Affluent Customer,N,No,8.0,NSW,12,medium,1894.19,27.0,1
390,Male,78,Affluent Customer,N,No,8.0,NSW,12,medium,1227.34,27.0,1
391,Male,78,Affluent Customer,N,No,8.0,NSW,12,medium,1065.03,27.0,1
392,Male,78,Affluent Customer,N,No,8.0,NSW,12,medium,543.39,27.0,1
393,Male,78,Affluent Customer,N,No,8.0,NSW,12,low,71.16,27.0,0
394,Male,30,Affluent Customer,N,Yes,12.0,NSW,10,medium,1415.01,35.0,1
395,Male,93,Affluent Customer,N,Yes,16.0,QLD,6,high,495.72,48.0,0
396,Male,93,Affluent Customer,N,Yes,16.0,QLD,6,medium,795.34,48.0,1
397,Male,93,Affluent Customer,N,Yes,16.0,QLD,6,low,945.04,48.0,0
399,Male,93,Affluent Customer,N,Yes,16.0,QLD,6,medium,1812.75,48.0,1
409,Female,28,Mass Customer,N,No,19.0,NSW,8,medium,71.49,42.0,1
410,Female,28,Mass Customer,N,No,19.0,NSW,8,low,1057.51,42.0,0
411,Female,28,Mass Customer,N,No,19.0,NSW,8,medium,752.64,42.0,1
412,Female,28,Mass Customer,N,No,19.0,NSW,8,medium,912.52,42.0,1
413,Female,28,Mass Customer,N,No,19.0,NSW,8,medium,1227.34,42.0,1
414,Female,28,Mass Customer,N,No,19.0,NSW,8,medium,1362.99,42.0,1
415,Female,28,Mass Customer,N,No,19.0,NSW,8,low,1057.51,42.0,0
416,Female,28,Mass Customer,N,No,19.0,NSW,8,low,688.63,42.0,0
417,Female,20,High Net Worth,N,Yes,18.0,QLD,9,low,574.64,42.0,0
418,Female,20,High Net Worth,N,Yes,18.0,QLD,9,high,1274.93,42.0,0
419,Female,20,High Net Worth,N,Yes,18.0,QLD,9,medium,1280.28,42.0,1
420,Female,20,High Net Worth,N,Yes,18.0,QLD,9,medium,575.27,42.0,1
421,Female,20,High Net Worth,N,Yes,18.0,QLD,9,high,1274.93,42.0,0
422,Female,20,High Net Worth,N,Yes,18.0,QLD,9,medium,499.53,42.0,1
423,Female,20,High Net Worth,N,Yes,18.0,QLD,9,medium,1873.97,42.0,1
424,Female,20,High Net Worth,N,Yes,18.0,QLD,9,medium,71.49,42.0,1
425,Male,79,Mass Customer,N,No,7.0,QLD,5,low,688.63,31.0,0
426,Male,79,Mass Customer,N,No,7.0,QLD,5,medium,792.9,31.0,0
427,Male,79,Mass Customer,N,No,7.0,QLD,5,medium,1483.2,31.0,0
428,Male,37,Affluent Customer,N,No,8.0,NSW,9,medium,569.56,35.0,1
429,Male,37,Affluent Customer,N,No,8.0,NSW,9,medium,569.56,35.0,1
430,Female,76,Mass Customer,N,No,18.0,NSW,10,high,1179.0,52.0,0
432,Female,76,Mass Customer,N,No,18.0,NSW,10,medium,1240.31,52.0,1
433,Female,76,Mass Customer,N,No,18.0,NSW,10,medium,642.7,52.0,1
434,Female,76,Mass Customer,N,No,18.0,NSW,10,medium,441.49,52.0,1
435,Female,76,Mass Customer,N,No,18.0,NSW,10,medium,1415.01,52.0,1
436,Male,11,Mass Customer,N,No,13.0,VIC,1,medium,1403.5,42.0,0
437,Male,11,Mass Customer,N,No,13.0,VIC,1,low,688.63,42.0,0
438,Male,11,Mass Customer,N,No,13.0,VIC,1,low,1793.43,42.0,0
439,Male,11,Mass Customer,N,No,13.0,VIC,1,medium,499.53,42.0,0
440,Male,11,Mass Customer,N,No,13.0,VIC,1,medium,1810.0,42.0,0
441,Male,11,Mass Customer,N,No,13.0,VIC,1,medium,1555.58,42.0,0
442,Male,11,Mass Customer,N,No,13.0,VIC,1,medium,1894.19,42.0,0
443,Male,11,Mass Customer,N,No,13.0,VIC,1,high,12.01,42.0,0
444,Male,11,Mass Customer,N,No,13.0,VIC,1,high,1842.92,42.0,0
445,Male,11,Mass Customer,N,No,13.0,VIC,1,medium,1065.03,42.0,0
450,Female,93,High Net Worth,N,No,19.0,VIC,8,medium,642.7,55.0,0
451,Female,93,High Net Worth,N,No,19.0,VIC,8,medium,1311.44,55.0,0
452,Female,93,High Net Worth,N,No,19.0,VIC,8,medium,60.34,55.0,0
453,Female,93,High Net Worth,N,No,19.0,VIC,8,medium,1466.68,55.0,0
454,Female,93,High Net Worth,N,No,19.0,VIC,8,medium,1812.75,55.0,0
455,Male,97,Mass Customer,N,Yes,18.0,NSW,12,low,980.37,53.0,1
456,Male,97,Mass Customer,N,Yes,18.0,NSW,12,high,1179.0,53.0,1
457,Male,97,Mass Customer,N,Yes,18.0,NSW,12,medium,575.27,53.0,1
458,Male,97,Mass Customer,N,Yes,18.0,NSW,12,high,227.88,53.0,1
459,Male,97,Mass Customer,N,Yes,18.0,NSW,12,low,958.74,53.0,1
460,Male,97,Mass Customer,N,Yes,18.0,NSW,12,medium,543.39,53.0,1
474,Male,75,High Net Worth,N,Yes,7.0,NSW,11,low,71.16,31.0,1
475,Male,75,High Net Worth,N,Yes,7.0,NSW,11,medium,360.4,31.0,1
476,Male,75,High Net Worth,N,Yes,7.0,NSW,11,low,574.64,31.0,1
477,Male,75,High Net Worth,N,Yes,7.0,NSW,11,medium,1065.03,31.0,1
478,Male,75,High Net Worth,N,Yes,7.0,NSW,11,medium,1065.03,31.0,1
479,Male,75,High Net Worth,N,Yes,7.0,NSW,11,high,1661.92,31.0,1
480,Male,75,High Net Worth,N,Yes,7.0,NSW,11,medium,569.56,31.0,1
481,Male,75,High Net Worth,N,Yes,7.0,NSW,11,medium,230.91,31.0,1
482,Male,75,High Net Worth,N,Yes,7.0,NSW,11,low,1720.7,31.0,1
483,Male,78,Mass Customer,N,No,8.0,NSW,12,medium,544.05,46.0,1
484,Male,78,Mass Customer,N,No,8.0,NSW,12,medium,1071.23,46.0,1
485,Male,78,Mass Customer,N,No,8.0,NSW,12,medium,1386.84,46.0,1
486,Male,78,Mass Customer,N,No,8.0,NSW,12,medium,1061.56,46.0,1
487,Male,78,Mass Customer,N,No,8.0,NSW,12,medium,499.53,46.0,1
